Company name, Telephone, Email, Website, Country
ANNO CHEMICALS N.V. , +32.3.464.25.32 , info@annochemicals.com , www.annochemicals.com, BelgiÃ« 
 AON BELGIUM BVBA , 00.32.2.730.95.11 , info@aon.be , www.aon.be, BelgiÃ« 
 ARPADIS BENELUX N.V. , 00.32.3.206.93.70 , l.abergel@arpadis.com , www.arpadis.com, BelgiÃ« 
 AZELIS BENELUX N.V. , 00.32.14.57.81.00 , info@azelis.be , www.azelis.be, BelgiÃ« 
 BACD  , 00.32.475.451.457 , info@bacd.be , www.bacd.be, BelgiÃ« 
 BARENTZ N.V. , 00.32.2.713.06.61 , wim.vanmuylder@barentz.com , www.barentz.com, BelgiÃ« 
 BASF BELGIUM S.A.-N.V. , +32.2 373 21  11 , francis.lippens@basf.com , www.basf.com, Belgique 
 BRENNTAG N.V. , 00.32.56.77.69.44 , info@brenntag.be , www.brenntag.be, BelgiÃ« 
 CALDIC BELGIUM N.V. , 00.32.3.870.48.11 , info@caldic.be , www.caldic.com, BelgiÃ« 
 CGK Group bvba , 00.32.56.42.22.02 , info@cgk-group.com , www.cgk-group.com, BelgiÃ« 
 CONTRAST EUROPEAN & BUSINESS LAW , 00.32.2.275.00.75 , bart.bellen@contrast-law.be , www.contrast-law.be, BelgiÃ« 
 COULON S.A. , 00.32.64.27.37.27 , infos@coulon.be , www.coulon.be, BelgiÃ« 
 DE BLAUWE PEER , 00.32.9.250.93.00 , peter@blauwepeer.be , www.blauwepeer.be, BelgiÃ« 
 DHAXLEY TRANSLATIONS NV , +32 14 50 79 45 , trans.doc@dhaxley.be , www.dhaxley.be, BelgiÃ« 
 ECOCHEM INTERNATIONAL N.V. , +32.14.57.81.23 , info@ecochem.be , www.ecochem.be, Belgium 
 ESSENSCIA , 02.238 97 11 , info@essenscia.be , www.essenscia.be, BelgiÃ« 
 EUROWASTE NV , 00.32.3.281.33.63 , eurowaste@eurowaste.be , www.eurowaste .be, BelgiÃ« 
 FOURNY NV , 00.32.3.886.27.70 , jan.devooght@fourny.be , www.fourny.be, BelgiÃ« 
